2017-Dec-31 07:35:45.384329 INFO    [daemon] tupi v2.1.2.1251 ()
2017-Dec-31 07:35:45.384501 INFO    [daemon] Module folder: ./tupid
2017-Dec-31 07:35:45.384720 INFO    [RocksDBWrapper] Opening DB in /home/ubuntu/.tupi/DB
2017-Dec-31 07:35:45.385748 INFO    [RocksDBWrapper] DB not found in /home/ubuntu/.tupi/DB. Creating new DB...
2017-Dec-31 07:35:45.408333 INFO    [daemon] Initializing core...
2017-Dec-31 07:35:45.410315 INFO    [daemon] Core initialized OK
2017-Dec-31 07:35:45.410409 INFO    [daemon] Initializing p2p server...
2017-Dec-31 07:35:45.564337 ERROR   [node_server] Failed to resolve host name 'tupiseeds.ga': Ipv4Resolver::resolve, getaddrinfo failed, result=-2, Unknown error -2
2017-Dec-31 07:35:45.708209 ERROR   [node_server] Failed to resolve host name 'tupiseeds.tk': Ipv4Resolver::resolve, getaddrinfo failed, result=-2, Unknown error -2
2017-Dec-31 07:35:45.858243 ERROR   [node_server] Failed to resolve host name 'tupiseeds.ml': Ipv4Resolver::resolve, getaddrinfo failed, result=-2, Unknown error -2
2017-Dec-31 07:35:46.044678 ERROR   [node_server] Failed to resolve host name 'tupiseeds.cf': Ipv4Resolver::resolve, getaddrinfo failed, result=-2, Unknown error -2
2017-Dec-31 07:35:46.185821 ERROR   [node_server] Failed to resolve host name 'tupiseeds.gq': Ipv4Resolver::resolve, getaddrinfo failed, result=-2, Unknown error -2
2017-Dec-31 07:35:46.186039 INFO    [node_server] Generated new peer ID: 13472791080282354653
2017-Dec-31 07:35:46.186090 INFO    [node_server] Binding on 0.0.0.0:30805
2017-Dec-31 07:35:46.186171 INFO    [node_server] Net service binded on 0.0.0.0:30805
2017-Dec-31 07:35:46.186213 INFO    [node_server] Attempting to add IGD port mapping.
2017-Dec-31 07:35:50.194957 INFO    [node_server] No IGD was found.
2017-Dec-31 07:35:50.195142 INFO    [daemon] P2p server initialized OK
2017-Dec-31 07:35:50.195343 INFO    [daemon] Starting core rpc server on address 127.0.0.1:30806
2017-Dec-31 07:35:50.195439 INFO    [daemon] Core rpc server started ok
2017-Dec-31 07:35:50.195500 INFO    [daemon] Starting p2p net loop...
2017-Dec-31 07:35:50.195544 INFO    [node_server] Starting node_server
2017-Dec-31 07:55:40.054926 INFO    [node_server] Stop signal sent
2017-Dec-31 07:55:40.055172 INFO    [node_server] Stopping NodeServer and it's0 connections...
2017-Dec-31 07:55:40.055296 INFO    [node_server] NodeServer loop stopped
2017-Dec-31 07:55:40.055338 INFO    [daemon] p2p net loop stopped
2017-Dec-31 07:55:40.055380 INFO    [daemon] Stopping core rpc server...
2017-Dec-31 07:55:40.055435 INFO    [daemon] Deinitializing p2p...
2017-Dec-31 07:55:40.056046 INFO    [RocksDBWrapper] Closing DB.
2017-Dec-31 07:55:40.089195 INFO    [daemon] Node stopped.
